,REF_BACEN,NU_ORDEM,DT_EMISSAO,DT_VENCIMENTO,CD_ESTADO,CD_EMPREENDIMENTO,idPrograma,idIrrigacao,CD_TIPO_AGRICULTURA,idCiclo,CD_TIPO_CULTIVO,idGrao,DT_FIM_COLHEITA,DT_FIM_PLANTIO,DT_INIC_COLHEITA,DT_INIC_PLANTIO,DT_COMUNICACAO,idCultivar,idSolo,idEvento
11095,512618764,1,25/08/2021,20/07/2022,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,3.0,21/05/2022,12/31/2021 ,21/03/2022,01/11/2021,21/03/2022,1.0,2.0,48.0
11146,511884484,1,26/04/2021,15/01/2022,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,05/11/2021,06/28/2021 ,18/09/2021,11/05/2021,25/10/2021,2.0,3.0,17.0
11147,513053863,1,05/11/2021,15/10/2022,SC,"1,20E+13",1.0,1.0,3.0,22.0,3.0,0.0,16/08/2022,11/19/2021 ,14/08/2022,17/11/2021,08/07/2022,1.0,2.0,17.0
11187,511535090,1,04/02/2021,10/11/2021,PR,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,01/08/2021,03/20/2021 ,15/06/2021,15/02/2021,02/06/2021,1.0,3.0,48.0
11205,512769927,1,17/09/2021,08/02/2023,RS,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,30/04/2022,11/30/2021 ,01/04/2022,01/11/2021,03/02/2022,1.0,3.0,48.0
11221,505122831,1,27/07/2017,15/06/2018,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,16/03/2018,12/31/2017 ,02/01/2018,11/09/2017,01/02/2018,3.0,3.0,17.0
11234,508778859,1,07/08/2019,20/10/2020,RS,"1,20E+13",50.0,1.0,7.0,22.0,2.0,8.0,30/04/2020,11/30/2019 ,01/04/2020,06/11/2019,17/03/2020,99.0,9.0,48.0
11235,510335137,1,01/07/2020,20/06/2021,RS,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,31/12/2020,09/12/2020,03/12/2020,15/08/2020,03/09/2020,1.0,3.0,24.0
11261,512659106,1,30/08/2021,18/07/2022,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,20/04/2022,10/28/2021 ,20/02/2022,30/09/2021,18/01/2022,99.0,9.0,48.0
11277,511785880,1,01/04/2021,26/03/2022,SC,"1,20E+13",1.0,4.0,3.0,22.0,0.0,0.0,25/12/2021,,20/11/2021,,16/11/2021,99.0,9.0,17.0
11281,510540031,1,03/08/2020,21/04/2021,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,20/01/2021,08/31/2020 ,05/01/2021,01/08/2020,26/11/2020,99.0,3.0,48.0
11290,512248589,1,07/07/2021,15/06/2022,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,14/04/2022,12/05/2021,29/03/2022,19/11/2021,10/03/2022,2.0,3.0,48.0
11294,512946420,1,18/10/2021,20/06/2022,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,14/04/2022,12/05/2021,04/03/2022,25/10/2021,16/02/2022,1.0,3.0,48.0
11304,513349572,1,11/01/2022,15/12/2022,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,22/10/2022,06/14/2022 ,18/10/2022,10/06/2022,08/11/2022,1.0,2.0,17.0
11305,512726949,1,10/09/2021,09/07/2022,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,20/01/2022,09/15/2021 ,15/01/2022,12/09/2021,27/12/2021,99.0,3.0,48.0
11317,509601753,1,26/12/2019,15/02/2021,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,3.0,07/07/2020,02/28/2020 ,06/07/2020,27/02/2020,27/03/2020,1.0,3.0,48.0
11343,507083000,1,07/08/2018,15/07/2019,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,3.0,22/02/2019,10/20/2018 ,22/02/2019,20/10/2018,14/02/2019,1.0,3.0,48.0
11346,511682919,1,11/03/2021,05/11/2021,PR,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,10/08/2021,03/20/2021 ,20/07/2021,10/03/2021,08/07/2021,1.0,3.0,48.0
11375,513862388,1,19/05/2022,02/05/2023,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,3.0,15/11/2022,06/20/2022 ,15/10/2022,30/05/2022,05/09/2022,3.0,9.0,17.0
11416,508342532,1,10/05/2019,02/07/2020,PR,"1,20E+13",1.0,1.0,3.0,22.0,2.0,8.0,30/09/2019,04/30/2019 ,22/09/2019,22/04/2019,21/08/2019,3.0,3.0,24.0
11437,506648082,1,18/05/2018,20/01/2019,RS,"1,20E+13",999.0,1.0,3.0,22.0,2.0,8.0,30/11/2018,06/30/2018 ,01/11/2018,01/06/2018,31/10/2018,2.0,3.0,17.0
11455,506107054,1,09/01/2018,28/07/2019,RS,"1,20E+13",1.0,1.0,3.0,1.0,1.0,0.0,30/05/2018,05/30/2017 ,01/02/2018,01/05/2017,01/03/2018,6.0,3.0,31.0
11506,508633004,1,16/07/2019,06/01/2021,RS,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,20/04/2020,11/20/2019 ,05/03/2020,02/11/2019,19/03/2020,2.0,9.0,48.0
11516,514127032,1,08/07/2022,17/05/2023,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,15/02/2023,08/25/2022 ,15/01/2023,15/08/2022,08/12/2022,99.0,3.0,48.0
11563,513265310,1,20/12/2021,14/09/2022,PR,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,15/06/2022,02/10/2022,10/06/2022,04/02/2022,29/04/2022,99.0,3.0,48.0
